Year,January,February,March,April,May,June,July,August,September,October,November,December
1975,-7.253870967741939,-7.129738562091509,-4.777346278317152,1.5814696485623,14.533968253968254,17.686816720257244,20.568167202572337,18.954220779220783,12.487662337662343,8.94679487179487,4.042718446601944,-7.638360655737705
1976,-12.525773195876283,-5.60443686006826,-2.555821917808223,6.295081967213117,10.139072847682126,18.436065573770485,18.69611650485437,18.09576547231271,13.236012861736342,5.388424437299033,-1.7474025974025973,-11.327272727272732
1977,-14.139130434782606,-8.263210702341135,0.5914383561643832,6.111803278688528,14.069055374592836,15.697427652733111,19.83907284768211,17.238283828382833,14.18377483443708,7.452631578947371,2.228424657534244,-7.273129251700681
1978,-12.088698630136998,-12.25847750865052,-5.669520547945205,2.9496644295302,12.729641693811079,15.800651465798046,19.028295819935675,18.685530546623813,13.601307189542478,7.276000000000001,0.3887043189368771,-6.650675675675673
1979,-11.548275862068966,-13.955479452054794,-1.0160958904109592,3.907666666666665,10.801320132013203,16.405298013245034,19.663787375415286,17.425245901639347,14.04554455445544,7.129449838187701,1.9892156862745107,-3.90430463576159
1980,-8.625496688741718,-10.476411960132893,-4.121428571428568,5.455183946488296,12.790228013029315,14.406840390879475,19.495081967213117,19.858223684210525,13.403289473684213,5.510491803278685,-0.06454849498327717,-10.030927835051545
1981,-12.487372013651886,-4.646048109965638,-1.2316151202749148,5.648299319727893,10.842295081967215,16.432343234323437,19.861563517915307,18.731270358306183,13.23168316831683,5.677922077922077,2.043333333333334,-5.275
1982,-14.44152249134948,-9.951228070175443,-3.933098591549291,2.739298245614034,13.716610169491524,14.50066666666666,19.460135135135136,16.389491525423747,13.696907216494854,8.811262798634813,1.7752613240418116,-2.4660777385159003
1983,-7.452877697841724,-5.809454545454546,-1.3844202898550733,3.9782456140350893,9.112244897959178,17.203355704697987,20.97966101694917,20.222789115646258,15.538720538720542,8.160137457044671,1.5167235494880544,-9.60857142857143
1984,-12.37455197132617,-3.4088560885608845,-6.460439560439555,6.569366197183099,9.520069204152248,17.19270833333334,18.951535836177467,19.92629757785468,12.757439446366776,9.537716262975778,1.291166077738516,-4.024642857142858
1985,-11.433211678832114,-8.485984848484849,-1.5159259259259255,6.103249097472925,12.307067137809186,14.67632508833922,18.639007092198582,17.90531914893617,15.049645390070921,8.589084507042255,0.3949820788530471,-8.640794223826717
1986,-9.119636363636367,-8.909890109890112,-1.3590579710144943,7.097463768115942,13.564236111111102,15.480677966101693,19.65627118644067,17.41202749140893,13.534707903780072,7.731487889273355,-0.5901754385964912,-3.6698924731182796
1987,-7.181227436823106,-7.335842293906816,-0.19166666666666649,8.15658362989324,13.163345195729537,18.209574468085098,21.09501779359431,18.450709219858155,14.904255319148943,6.09928315412186,1.6916666666666669,-2.7135531135531137
1988,-8.743333333333325,-9.50111524163569,-3.006390977443608,5.138888888888886,13.468928571428565,16.85,21.628368794326242,20.1319298245614,14.123076923076919,5.869580419580414,2.8516129032258077,-6.293772893772898
1989,-5.899270072992701,-9.583150183150188,-4.634057971014493,3.527898550724637,12.270422535211269,17.176842105263148,20.631672597864767,18.672241992882554,14.519928825622767,8.606666666666666,-0.5322463768115945,-13.325724637681166
1990,-3.904000000000002,-6.398154981549815,-0.9671586715867151,6.520588235294122,10.618909090909082,17.13854545454546,19.588447653429615,19.11588447653429,13.86872727272727,7.850183150183155,2.695505617977529,-4.367164179104476
1991,-9.578148148148149,-5.138576779026219,-0.9026217228464416,7.35373134328358,14.971691176470591,18.772426470588236,20.183695652173906,20.06317689530687,13.677536231884053,8.714233576642332,0.6325925925925916,-5.405303030303035
1992,-7.815708812260543,-6.819691119691121,-4.125954198473279,3.8687969924812053,11.837735849056608,15.167293233082706,16.85534351145038,16.844615384615388,13.902651515151513,6.351310861423223,0.9738281250000002,-4.360377358490566
1993,-7.4041666666666694,-11.184269662921348,-3.409615384615386,4.8920454545454515,11.494464944649447,16.17453874538746,20.27811320754718,19.919465648854935,12.310317460317451,6.452509652509651,0.4275590551181103,-5.36627450980392
1994,-15.8505928853755,-11.257142857142856,-2.4128514056224897,5.331746031746036,10.684375000000003,17.832684824902735,19.965490196078434,17.457471264367825,14.810727969348664,9.125968992248058,3.7546874999999984,-2.6587360594795557
1995,-6.0962264150943355,-10.08897338403043,-0.39809160305343394,2.623664122137405,11.724603174603171,18.97401574803151,20.23764705882353,20.449411764705882,12.8443579766537,9.414785992217901,-2.1419607843137225,-8.265098039215689
1996,-10.795599999999993,-8.769047619047623,-4.819521912350598,2.7889328063241106,10.19960317460317,17.698828125000002,18.426587301587286,19.320622568093395,15.22131782945736,7.960156249999999,-1.3027450980392155,-3.5102766798418945
1997,-10.069105691056905,-6.7065306122449035,-3.8323770491803266,3.888571428571429,8.415983606557381,18.161847389558236,19.16812749003984,17.31039999999999,14.267063492063494,7.787550200803218,0.23130081300812907,-3.637651821862346
1998,-5.990983606557378,-2.2161825726141084,-0.63402489626556,6.9589211618257245,15.173858921161818,17.454471544715453,19.695934959349607,19.859109311740895,15.895546558704451,9.157613168724284,2.808298755186723,-2.4954356846473016
1999,-9.604938271604935,-4.3041322314049575,-2.010743801652894,6.468049792531117,13.869037656903767,18.563179916317996,21.56124999999999,18.251452282157672,15.882572614107898,7.599152542372881,3.6847457627118625,-3.457983193277311
2000,-8.978723404255318,-5.264069264069267,2.0269230769230777,4.671186440677965,12.541596638655454,16.20084745762712,18.49401709401709,18.44957627118644,13.715546218487395,9.238655462184875,1.6241525423728804,-10.580257510729618
2001,-7.284188034188035,-7.485593220338981,-2.883333333333333,6.207327586206896,13.24034334763948,17.671966527196656,19.098340248962653,20.70588235294116,14.577272727272728,8.641250000000001,5.005106382978723,-1.074786324786326
2002,-4.507522123893804,-4.865929203539821,-3.1138392857142874,5.1981735159817335,9.30585585585586,17.24729729729729,21.319909502262444,19.875688073394485,17.34331797235023,6.289090909090906,0.06100917431192685,-4.627649769585254
2003,-11.492056074766351,-11.221226415094343,-3.380094786729857,3.3111627906976744,11.356279069767439,16.741314553990602,19.48726415094339,20.123474178403757,15.271904761904766,7.277981651376146,2.1986238532110094,-3.645205479452052
2004,-13.887735849056602,-6.862264150943397,-0.7805687203791478,4.8136792452830175,11.000938967136152,15.512560386473432,18.95962441314554,17.16315789473684,16.258215962441316,8.763679245283022,2.5868544600938956,-7.174178403755871
2005,-10.882938388625593,-6.832367149758454,-4.343809523809524,6.17544910179641,10.431012658227843,19.62484076433121,21.10967741935484,20.108737864077668,16.6364077669903,9.545192307692314,2.195609756097562,-6.4012987012987015
2006,-4.016993464052284,-8.04423076923077,-1.3014354066985643,6.792592592592592,12.767298578199053,17.571770334928228,21.13689320388349,18.895145631067965,13.643749999999995,6.891387559808614,2.9374999999999996,-1.4576923076923076
2007,-7.041176470588238,-11.523152709359604,-2.0990196078431373,4.307920792079207,12.479591836734691,18.036923076923074,19.161979166666672,19.360204081632656,15.727979274611393,11.268717948717955,0.27500000000000063,-6.653723404255319
2008,-6.566483516483521,-9.268715083798888,-4.967204301075269,6.459358288770054,9.747567567567566,17.437500000000004,19.48723404255318,18.384946236559138,14.69839572192515,7.4494565217391315,0.811229946524064,-8.192432432432438
2009,-12.961621621621623,-7.629891304347823,-2.3912568306010913,5.156043956043956,10.62568306010929,15.919444444444434,17.321739130434786,18.399450549450552,15.180219780219776,6.4335164835164855,4.191573033707865,-6.45674157303371
2010,-8.420338983050845,-6.897159090909094,1.976300578034683,8.381249999999996,13.733898305084743,16.99281767955802,21.06868131868132,20.194505494505496,13.92459016393442,8.454696132596686,2.0741758241758244,-6.49726775956284
2011,-11.134090909090911,-8.347191011235953,-3.5893854748603373,4.653370786516855,12.236871508379892,17.065714285714296,21.493023255813945,19.571098265895955,15.38959537572254,9.18218390804598,3.7617142857142856,-3.19770114942529
2012,-6.157058823529415,-4.040828402366868,3.932163742690059,5.008235294117646,13.865895953757216,18.436046511627914,21.55085714285714,19.320689655172426,14.38323699421965,8.330232558139533,0.5212643678160922,-3.8053254437869812
2013,-7.876744186046508,-8.503550295857979,-3.0723529411764696,3.144910179640718,12.238095238095232,16.538235294117634,19.897647058823537,18.64502923976608,14.229651162790697,9.024418604651162,-0.5473988439306349,-9.830635838150293
2014,-12.66863905325444,-12.003012048192772,-7.957232704402516,3.189375000000001,11.793209876543212,17.473619631901833,17.89813664596273,18.060122699386497,14.139877300613492,8.692024539877297,-1.6273291925465838,-4.267901234567902
2015,-12.292682926829263,-16.653658536585375,-4.9478787878787855,4.41212121212121,12.860479041916166,16.043975903614463,19.301807228915667,18.59818181818182,17.26524390243902,7.712195121951219,4.0878048780487815,0.46707317073170823
2016,-7.786144578313253,-7.448192771084335,-0.784337349397591,2.424848484848485,12.221212121212114,16.648795180722892,20.451898734177213,20.88633540372672,16.40063291139241,9.243037974683544,4.260509554140128,-5.700632911392409
2017,-5.601923076923075,-4.794871794871795,-3.8882352941176452,6.027564102564104,10.500000000000005,16.69290322580645,19.1974358974359,17.73806451612903,15.914743589743583,10.511688311688319,-0.3493506493506493,-9.709677419354845
2018,-10.278980891719751,-7.727564102564107,-3.466242038216562,0.553164556962025,13.366878980891721,17.07452229299363,20.888535031847137,20.055769230769236,15.336942675159234,5.830635838150289,-2.392655367231637,-5.148000000000006
2019,-12.393181818181812,-10.017714285714291,-4.8063218390804625,3.248275862068965,9.433142857142858,15.659090909090905,20.451445086705196,18.365116279069767,14.554335260115606,7.975438596491221,-2.425730994152048,-5.972781065088757
